Flexion,Posterior,Medial,Superior,Internal,Valgus
-10.2987814858936,950.444948620878,1523.04869144268,-41.5258015063197,-38.7299397170973,0.527250769829776
-11.2223152466709,962.531641554895,1515.02403201892,-46.2651536169399,-39.2231053502265,0.855470509942191
-12.1007584755629,977.081565982209,1505.16226006697,-55.4811730664372,-39.8145707630058,1.32538551640425
-12.9710831408076,994.487151316682,1493.02959411218,-65.0972307156756,-40.5182815367333,1.8072342794803
-13.8324020907736,1008.9530202548,1482.52396655307,-76.7252863744193,-41.1145431451242,2.35128805302649
-14.6914412987213,1023.04672142824,1471.96315558631,-88.2594627121378,-41.7021096626039,2.89101182828841
-15.5468106179992,1036.89149040812,1461.22169483177,-100.226494713332,-42.285995761713,3.44461795965101
-16.4052135344345,1050.66287037863,1450.2418913754,-111.253333233231,-42.8728662611019,3.96832656078749
-17.2606077856221,1065.74793849096,1437.8748961401,-122.591055534593,-43.5121351119402,4.50328302123613
-18.1246941570816,1078.6498406669,1426.93767637865,-133.239386693813,-44.0667028899954,5.01590209321616
-18.9949684268126,1090.89788533126,1416.33805519436,-142.797995195788,-44.5964473491478,5.49364799427867
-19.8757018587865,1100.85190993841,1407.35482396925,-151.986038208041,-45.0335639243648,5.96170890448177
-20.7730845563019,1110.51723006604,1398.7023041014,-159.085224384748,-45.4520594014478,6.36443226156358
-21.6703428156757,1120.45564952259,1389.63838660775,-166.287096348409,-45.8828584344028,6.76964591925803
-22.5705490512331,1129.73580690721,1381.01464920684,-172.997796017843,-46.2865008413472,7.15981865829269
-23.475540421875,1139.29720667513,1372.05561046607,-179.21024621365,-46.7003894031157,7.53440856902228
-24.3828790305431,1147.80367070218,1363.88730954607,-185.343012169326,-47.0698707848246,7.9063278519324
-25.2926462296092,1156.38425448599,1355.55995098995,-191.095911600317,-47.441575760469,8.26600471105102
-26.2055523669594,1164.32119623372,1347.69548571051,-196.846556402776,-47.7854513285143,8.62562204988654
-27.1210623364074,1171.94515621628,1340.01916279695,-202.355708934648,-48.1154459603292,8.97766655171655
-28.0395971687342,1178.9261856905,1332.84290895595,-207.782450282928,-48.4165265358285,9.32689049435407
-28.9615826494122,1185.29371610323,1326.18938893867,-212.838482282117,-48.6887146259491,9.66452636297358
-29.8864636877057,1191.77584787808,1319.39802060887,-217.537592514416,-48.963340032697,9.99052015863313
-30.8133451608064,1197.18273437639,1313.5186968828,-222.437013794795,-49.190590275999,10.3223177447883
-31.7444731751355,1202.40163307685,1307.76661697735,-227.285747806169,-49.4080996330319,10.6524320301826
-32.672586287298,1207.34038353797,1302.22368504115,-232.093708447009,-49.6115713912943,10.9798585568745
-33.606316548251,1211.84543086022,1297.06250580694,-236.760734685082,-49.7931449564805,11.30287686588
-34.5431201236315,1216.12229941735,1292.1016756008,-241.206893279167,-49.9624628292394,11.6186205236632
-35.4839600073306,1219.92545889933,1287.57884681119,-245.585386707097,-50.1083334859668,11.9321249691753
-36.4230399282719,1223.47256133405,1283.26492594255,-249.960709913244,-50.241309446684,12.2441734081111
-37.3671315854386,1226.89915549673,1279.04339512578,-254.288852300999,-50.3658570943029,12.5545887101928
-38.3092083944539,1229.59750409562,1275.48841802275,-258.716893202166,-50.4567904375905,12.8669226246951
-39.2574686061958,1232.4444203278,1271.79246812696,-262.865906737058,-50.5502915930208,13.1703420230531
-40.2077791934823,1234.80274499996,1268.57273278775,-267.000595126679,-50.619159658289,13.4724602274866
-41.1596926643255,1236.91631681469,1265.57389730973,-271.079485408613,-50.6743996677302,13.7716969123952
-42.116286811886,1238.72875163865,1262.91299313633,-274.969436572712,-50.7116836279387,14.0646188557388
-43.0726140310359,1239.73619246427,1261.01989114789,-279.00406879804,-50.7109228041133,14.3601375453857
