Flexion,Posterior,Medial,Superior,Internal,Valgus
-10.7515477389489,859.82933898985,1576.71398059465,-4.95473551829407,-35.4964111661352,-0.555736223551529
-11.7028229240566,867.122275755963,1572.54556816969,-7.76478129769011,-35.7951351921988,-0.2832269472386
-12.6168307250561,879.916287395003,1565.17769143933,-13.2126575043814,-36.2955250653763,0.0748606235894256
-13.4955886520852,896.092900015162,1555.59861951553,-22.5869092732395,-36.9208290988176,0.550660896820514
-14.3585820196707,913.581492784204,1544.94562305533,-33.6441708288172,-37.5986646789331,1.07709263013494
-15.2135353979088,929.55083462649,1534.88133189227,-46.1325137176544,-38.2238913001775,1.64688258563044
-16.0485338671627,947.7049070915,1522.9236962181,-59.873989739739,-38.9350686112643,2.25638087356515
-16.8942787475525,967.162255067796,1509.70941247306,-71.7128830798133,-39.701643568743,2.80389706568542
-17.7365532574465,978.410459212599,1501.51337059311,-86.2301281279018,-40.1622320057355,3.43643208656382
-18.6019377124355,993.673050767935,1490.41437007944,-96.5605406063197,-40.7759110212389,3.93864549098514
-19.4730959381979,1004.24949019136,1482.33912599291,-107.229417224948,-41.2092696514346,4.45265119764524
-20.3642499776823,1015.04462448372,1474.07539110149,-115.169414007322,-41.6473879537604,4.88217478609651
-21.2647426568069,1024.47380604013,1466.68360478275,-122.575997338524,-42.0317688543541,5.29549014090302
-22.1683277943383,1033.12795470745,1459.74194474385,-129.608873566172,-42.3844579760876,5.69706107302768
-23.0792239667614,1041.54792155214,1452.9474136609,-135.763641968364,-42.7262303869652,6.07108987466533
-23.9918339562571,1049.81132575672,1446.16732982096,-141.718874612173,-43.059753915138,6.43877217042679
-24.9111369991001,1057.12711757938,1440.05425810135,-147.247265476364,-43.3539361992495,6.79339153198082
-25.8356292897216,1064.01194633018,1434.23520559264,-152.26131213133,-43.6285256551356,7.13169595218146
-26.76500977306,1070.38634456103,1428.77964633345,-156.921464176131,-43.879826070371,7.45897189011173
