Anterior Drawer - Control,Distraction - Control,Extension Torque - Control,External Rotation Torque - Control,Lateral Drawer - Control,Varus Torque - Control,Anterior Drawer - Desired,Distraction - Desired,Extension Torque - Desired,External Rotation Torque - Desired,Lateral Drawer - Desired,Varus Torque - Desired
0,0,8.77779851007028e+304,0,4.38361869801687e-193,0,0,0,8.77779851007028e+304,0,-3.10503618460146e+231,0
0,0,8.77779851007028e+304,0,8.0863492239045e-174,0,0,0,8.77779851007028e+304,0,-3.10503618460146e+231,0
0,0,8.77779851007028e+304,0,8.0863492239045e-174,0,0,0,8.77779851007028e+304,0,-3.10503618460146e+231,0
0,0,8.77779851007028e+304,0,2.37636445786898e-212,0,0,0,8.77779851007028e+304,0,-3.10503618460146e+231,0
0,0,8.77779851007028e+304,0,2.37636445786898e-212,0,0,0,8.77779851007028e+304,0,-3.10503618460146e+231,0
0,0,8.77779851007028e+304,0,2.37636445786898e-212,0,0,0,8.77779851007028e+304,0,-3.10503618460146e+231,0
0,0,8.77779851007028e+304,0,1.28822975391944e-231,0,0,0,8.77779851007028e+304,0,-3.10503618460146e+231,0
0,0,8.77779851007028e+304,0,4.38361869801687e-193,0,0,0,8.77779851007028e+304,0,-3.10503618460146e+231,0
0,0,8.77779851007028e+304,0,3.78576699573373e-270,0,0,0,8.77779851007028e+304,0,-3.10503618460146e+231,0
0,0,8.77779851007028e+304,0,4.38361869801687e-193,0,0,0,8.77779851007028e+304,0,-3.10503618460146e+231,0
0,0,8.77779851007028e+304,0,2.37636445786898e-212,0,0,0,8.77779851007028e+304,0,-3.10503618460146e+231,0
0,0,8.77779851007028e+304,0,1.28822975391944e-231,0,0,0,8.77779851007028e+304,0,-3.10503618460146e+231,0
0,0,8.77779851007028e+304,0,1.49166814624006e-154,0,0,0,8.77779851007028e+304,0,-3.10503618460146e+231,0
0,0,8.77779851007028e+304,0,2.37636445786898e-212,0,0,0,8.77779851007028e+304,0,-3.10503618460146e+231,0
0,0,8.77779851007028e+304,0,2.37636445786898e-212,0,0,0,8.77779851007028e+304,0,-3.10503618460146e+231,0
