Anterior Drawer - Control,Distraction - Control,Extension Torque - Control,External Rotation Torque - Control,Lateral Drawer - Control,Varus Torque - Control,Anterior Drawer - Desired,Distraction - Desired,Extension Torque - Desired,External Rotation Torque - Desired,Lateral Drawer - Desired,Varus Torque - Desired
0,0,8.77779851007028e+304,0,7.03730299609885e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,7.02274090835217e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.99515407096806e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.99515407096806e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.96184352232478e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.94148464966749e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.92047366898601e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.89794310619804e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.888420015982e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.8672535211938e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.85638364425856e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.81980941042592e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.80658079003072e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.79734999706749e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.77632117297465e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.76227750682025e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.72465170545172e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.72294407418022e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.68300441784411e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.66425199922213e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.64524385530256e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.62031449585973e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.59231301523756e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.58646599189764e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.57268095317651e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.54337702990568e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.54337702990568e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.51226787686549e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.50212475873987e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.48918885266459e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.46869181466307e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.45766744455511e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.43449675278647e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.41338252363132e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
0,0,8.77779851007028e+304,0,6.41324671633513e-200,0,0,0,8.77779851007028e+304,0,1.03912942703285e+121,0
-3.86054280160143e+98,-77116.4053535461,4.17586524972955e+304,-1.3279060688159e-300,6.38991708330438e-200,1.06198883596331e-102,-3.86054280160143e+98,-77116.4053535461,4.17586524972955e+304,-1.3279060688159e-300,1.03912942703285e+121,1.06198883596331e-102
-3.31217919477177e+165,3.49884815390343e+304,2.81264605801404e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788112e-40,-3.31217919477177e+165,3.49884815390343e+304,2.81264605801404e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788112e-40
-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40,-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40
-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40,-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40
-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40,-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40
-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40,-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40
-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40,-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40
-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40,-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40
-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40,-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40
-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40,-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40
-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40,-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40
-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40,-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40
-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40,-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40
-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40,-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40
-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40,-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40
-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40,-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40
-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40,-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40
-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40,-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40
-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40,-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40
-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40,-3.31217919477177e+165,3.49884815390349e+304,2.81264605801398e-103,-4.15998965428112e-130,-1.3992296811156e+225,-6.18685414788122e-40
