Anterior Drawer - Control,Distraction - Control,Extension Torque - Control,External Rotation Torque - Control,Lateral Drawer - Control,Varus Torque - Control,Anterior Drawer - Desired,Distraction - Desired,Extension Torque - Desired,External Rotation Torque - Desired,Lateral Drawer - Desired,Varus Torque - Desired
0,0,4.08477972976271e-312,0,-1.69281888528552e+199,0,0,0,4.08477972976271e-312,0,-2.55177266904993e+277,0
0,0,4.08477972976271e-312,0,-6.01414867262597e-46,0,0,0,4.08477972976271e-312,0,2.08136436181846e+217,0
0,0,4.08477972976271e-312,0,6.02462074455892e+17,0,0,0,4.08477972976271e-312,0,-8.40317198955087e+91,0
0,0,4.08477972976271e-312,0,-1.29930619831924e-257,0,0,0,4.08477972976271e-312,0,-2.7342455618085e-94,0
0,0,4.08477972976271e-312,0,-3.0455870940739e+51,0,0,0,4.08477972976271e-312,0,-2.73424556189966e-94,0
0,0,4.08477972976271e-312,0,4.52160823246237e-241,0,0,0,4.08477972976271e-312,0,2.36869707623321e-154,0
0,0,4.08477972976271e-312,0,-4.18349984248963e-122,0,0,0,4.08477972976271e-312,0,-8.4031719900467e+91,0
0,0,4.08477972976271e-312,0,5.95361982567008e-185,0,0,0,4.08477972976271e-312,0,-2.7342455618085e-94,0
0,0,4.08477972976271e-312,0,6.20531798027164e-160,0,0,0,4.08477972976271e-312,0,2.36869707623321e-154,0
0,0,4.08477972976271e-312,0,4.52160823246245e-241,0,0,0,4.08477972976271e-312,0,2.36869707606301e-154,0
0,0,4.08477972976271e-312,0,-1.28819279242095e-238,0,0,0,4.08477972976271e-312,0,-2.55177266891509e+277,0
0,0,4.08477972976271e-312,0,-3.06812688241574e-139,0,0,0,4.08477972976271e-312,0,-2.73424556171733e-94,0
0,0,4.08477972976271e-312,0,-2.81359222628809e+298,0,0,0,4.08477972976271e-312,0,-2.55177266911735e+277,0
0,0,4.08477972976271e-312,0,-2.22204186814681e-30,0,0,0,4.08477972976271e-312,0,-8.40317199029461e+91,0
0,0,4.08477972976271e-312,0,3.69487107284862e-241,0,0,0,4.08477972976271e-312,0,-2.7342455618085e-94,0
0,0,4.08477972976271e-312,0,1.29051887672662e+17,0,0,0,4.08477972976271e-312,0,-2.73424556189966e-94,0
0,0,4.08477972976271e-312,0,7.72232185914212e-166,0,0,0,4.08477972976271e-312,0,-2.55177266911735e+277,0
0,0,4.08477972976271e-312,0,1.91121192656709e-181,0,0,0,4.08477972976271e-312,0,-8.40317199029461e+91,0
0,0,4.08477972976271e-312,0,240406516803945,0,0,0,4.08477972976271e-312,0,-2.7342455618085e-94,0
0,0,4.08477972976271e-312,0,1.53981081688289e+47,0,0,0,4.08477972976271e-312,0,-2.55177266911735e+277,0
0,0,4.08477972976271e-312,0,-0.00113219034809,0,0,0,4.08477972976271e-312,0,2.08136436181846e+217,0
0,0,4.08477972976271e-312,0,3.59892964946687e+108,0,0,0,4.08477972976271e-312,0,-2.55177266878026e+277,0
0,0,4.08477972976271e-312,0,1.65564630125894e-124,0,0,0,4.08477972976271e-312,0,-2.73424556171733e-94,0
0,0,4.08477972976271e-312,0,1.64423478966612e-225,0,0,0,4.08477972976271e-312,0,-8.40317199079044e+91,0
0,0,4.08477972976271e-312,0,-2.22204186814667e-30,0,0,0,4.08477972976271e-312,0,7.05155450579218e+31,0
