Anterior Drawer - Control,Distraction - Control,Extension Torque - Control,External Rotation Torque - Control,Lateral Drawer - Control,Varus Torque - Control,Anterior Drawer - Desired,Distraction - Desired,Extension Torque - Desired,External Rotation Torque - Desired,Lateral Drawer - Desired,Varus Torque - Desired
0,1.36524733105834e-312,4.08477972976271e-312,0,3.84646741945202e-84,0,0,1.36524733105834e-312,4.08477972976271e-312,0,0,0
0,1.36524733105834e-312,4.08477972976271e-312,0,-1.46536594292303e-40,0,0,1.36524733105834e-312,4.08477972976271e-312,0,0,0
0,1.36524733105834e-312,4.08477972976271e-312,0,5.92099313627328e-27,0,0,1.36524733105834e-312,4.08477972976271e-312,0,0,0
0,1.36524733105834e-312,4.08477972976271e-312,0,-4.73925208276667e-136,0,0,1.36524733105834e-312,4.08477972976271e-312,0,0,0
0,1.36524733105834e-312,4.08477972976271e-312,0,-7.68595321441192e-262,0,0,1.36524733105834e-312,4.08477972976271e-312,0,0,0
0,1.36524733105834e-312,4.08477972976271e-312,0,-7.68595321440971e-262,0,0,1.36524733105834e-312,4.08477972976271e-312,0,0,0
0,1.36524733105834e-312,4.08477972976271e-312,0,4.39082865621952e-285,0,0,1.36524733105834e-312,4.08477972976271e-312,0,0,0
0,1.36524733105834e-312,4.08477972976271e-312,0,3.33118427620206e+85,0,0,1.36524733105834e-312,4.08477972976271e-312,0,0,0
0,1.36524733105834e-312,4.08477972976271e-312,0,-6.77497647921915e+181,0,0,1.36524733105834e-312,4.08477972976271e-312,0,0,0
0,1.36524733105834e-312,4.08477972976271e-312,0,3.54187996427783e+213,0,0,1.36524733105834e-312,4.08477972976271e-312,0,0,0
0,1.36524733105834e-312,4.08477972976271e-312,0,-1.32370952800257e+51,0,0,1.36524733105834e-312,4.08477972976271e-312,0,0,0
0,1.36524733105834e-312,4.08477972976271e-312,0,2.23830240519817e+255,0,0,1.36524733105834e-312,4.08477972976271e-312,0,0,0
0,1.36524733105834e-312,4.08477972976271e-312,0,7.16260222800338e-199,0,0,1.36524733105834e-312,4.08477972976271e-312,0,0,0
0,1.36524733105834e-312,4.08477972976271e-312,0,-3.65083644553215e+76,0,0,1.36524733105834e-312,4.08477972976271e-312,0,0,0
0,1.36524733105834e-312,4.08477972976271e-312,0,-2.62152265036354e-81,0,0,1.36524733105834e-312,4.08477972976271e-312,0,0,0
0,1.36524733105834e-312,4.08477972976271e-312,0,1.70698873040606e+135,0,0,1.36524733105834e-312,4.08477972976271e-312,0,0,0
0,1.36524733105834e-312,4.08477972976271e-312,0,-3.12926802742633e-14,0,0,1.36524733105834e-312,4.08477972976271e-312,0,0,0
0,1.36524733105834e-312,4.08477972976271e-312,0,8.83312216008756e-53,0,0,1.36524733105834e-312,4.08477972976271e-312,0,0,0
0,1.36524733105834e-312,4.08477972976271e-312,0,-6.96811927439008e-197,0,0,1.36524733105834e-312,4.08477972976271e-312,0,0,0
0,1.36524733105834e-312,4.08477972976271e-312,0,1.95501870722593e-70,0,0,1.36524733105834e-312,4.08477972976271e-312,0,0,0
0,1.36524733105834e-312,4.08477972976271e-312,0,2.19945548547339e+210,0,0,1.36524733105834e-312,4.08477972976271e-312,0,0,0
0,1.36524733105834e-312,4.08477972976271e-312,0,6.72762773990146e-186,0,0,1.36524733105834e-312,4.08477972976271e-312,0,0,0
