Anterior Drawer - Control,Distraction - Control,Extension Torque - Control,External Rotation Torque - Control,Lateral Drawer - Control,Varus Torque - Control,Anterior Drawer - Desired,Distraction - Desired,Extension Torque - Desired,External Rotation Torque - Desired,Lateral Drawer - Desired,Varus Torque - Desired
0,-90,-500,0,-11.2571903839022,0,0,-90,-500,0,-11.2571903839022,0
0,-90,-500,0,-11.2573934739125,0,0,-90,-500,0,-11.2573934739125,0
0,-90,-500,0,-11.2578557220504,0,0,-90,-500,0,-11.2578557220504,0
0,-90,-500,0,-11.2580582425148,0,0,-90,-500,0,-11.2580582425148,0
0,-90,-500,0,-11.2584821741558,0,0,-90,-500,0,-11.2582684727849,0
0,-90,-500,0,-11.2587108749112,0,0,-90,-500,0,-11.2587108749112,0
0,-90,-500,0,-11.2588800364554,0,0,-90,-500,0,-11.2588800364554,0
0,-90,-500,0,-11.2591112626279,0,0,-90,-500,0,-11.2591112626279,0
0,-90,-500,0,-11.259524436436,0,0,-90,-500,0,-11.2592952063137,0
0,-90,-500,0,-11.2597503419173,0,0,-90,-500,0,-11.2597503419173,0
0,-90,-500,0,-11.2599722949031,0,0,-90,-500,0,-11.2599722949031,0
0,-90,-500,0,-11.260137378456,0,0,-90,-500,0,-11.260137378456,0
0,-90,-500,0,-11.2605568808623,0,0,-90,-500,0,-11.2605568808623,0
0,-90,-500,0,-11.2607554573757,0,0,-90,-500,0,-11.2607554573757,0
0,-90,-500,0,-11.2609455803524,0,0,-90,-500,0,-11.2609455803524,0
0,-90,-500,0,-11.2611489124642,0,0,-90,-500,0,-11.2611489124642,0
0,-90,-500,0,-11.2613511840728,0,0,-90,-500,0,-11.2613511840728,0
0,-90,-500,0,-11.2615265679147,0,0,-90,-500,0,-11.2615265679147,0
0,-90,-500,0,-11.2617099047264,0,0,-90,-500,0,-11.2619269805401,0
0,-90,-500,0,-11.2621254479083,0,0,-90,-500,0,-11.2621254479083,0
0,-90,-500,0,-11.2623138208155,0,0,-90,-500,0,-11.2623138208155,0
0,-90,-500,0,-11.2625042701595,0,0,-90,-500,0,-11.2625042701595,0
0,-90,-500,0,-11.2627039789721,0,0,-90,-500,0,-11.2627039789721,0
