Anterior Drawer - Control,Distraction - Control,Extension Torque - Control,External Rotation Torque - Control,Lateral Drawer - Control,Varus Torque - Control,Anterior Drawer - Desired,Distraction - Desired,Extension Torque - Desired,External Rotation Torque - Desired,Lateral Drawer - Desired,Varus Torque - Desired
0,0,4.08477972976271e-312,0,-2.48580160187091e-235,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,-8.58621093511976e+193,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,-3.91039350782378e+264,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,9.08226747931107e+72,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,3.11373035921085e+34,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,-8.13412031002352e+152,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,2.36416771301658e-136,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,-7.94629105963317e-84,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,5.26491455390483e+127,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,4.4124639703911e+268,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,-3.00360110429823e+183,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,2.37565573029356e-279,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,1.00414832915083e+161,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,1.22920130762265e+19,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,2.57995392625362e+92,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,-3.46326716198098e-15,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,-4.13500514427798e+210,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,6.81592740165458e+236,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,4.68559791354963e+54,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,6.80118121800109e-31,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,9.12756592461748e-293,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,3.99095651332332e-167,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,3.99095651332815e-167,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,-6.29368335406083e+133,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,1.76350925413249e+287,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,6.78262653582483e-26,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,-2.37320536265388e-58,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,1.2185266649415e+36,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,-3.87747768101166e+37,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,4.1335095852103e-213,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,-1.90577754737695e+201,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,1.05219831952251e+15,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,-9.98579178973439e-165,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,-9.9857917897497e-165,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
0,0,4.08477972976271e-312,0,-4.62166605678828e+301,0,0,0,4.08477972976271e-312,0,2.38483905277751e-285,0
2.77277856132838e-273,-4.7890485652059e+52,2.0034883706127e-48,-3.64634547270918e-255,1.20027891361025e+216,-1.98187894171531e+39,2.77277856132838e-273,-4.7890485652059e+52,2.0034883706127e-48,-3.64634547270918e-255,2.38483905277751e-285,-1.98187894171531e+39
-1.16335281736375e+278,4.70621239626048e-51,5.01679881226368e+15,-8.21309094998783e+187,-4.74003425306125e-35,2.45819525806966e+307,-1.16335281736375e+278,4.70621239626048e-51,5.01679881226368e+15,-8.21309094998783e+187,-4.73974095805282e-35,2.45819525806966e+307
-1.16343944037679e+278,4.70654024664939e-51,5.01679729534768e+15,-8.21394027524601e+187,-4.73973981861146e-35,2.45791987524748e+307,-1.16343944037679e+278,4.70654024664939e-51,5.01679729534768e+15,-8.21394027524601e+187,-4.73973981861146e-35,2.45791987524748e+307
-1.16343944037679e+278,4.70654024664939e-51,5.01679729534768e+15,-8.21394027524601e+187,-4.73973981861146e-35,2.45791987524748e+307,-1.16343944037679e+278,4.70654024664939e-51,5.01679729534768e+15,-8.21394027524601e+187,-4.73973981861146e-35,2.45791987524748e+307
